,element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens
0,V,1,425.93087,0.00018,425.93086,3e-05,780000
1,V,1,426.21552,0.00018,426.21549,9e-05,480000
2,Fe,1,426.04741,5e-05,426.04736,3e-05,224000
3,V,1,426.1195,0.0002,426.11946,0.00018,94000
4,V,1,425.8847,0.0003,425.88466,9e-05,33000
5,V,1,426.0135,0.0005,426.01347,5e-05,23000
6,Pu,1,426.188,0.01,,,10000
7,Tc,1,426.227,0.001,426.2245,0.001,10000
8,Hf,1,426.345,0.0011,426.344280,1.3e-05,5400
9,Os,1,426.085,0.01,,,4900
10,Fe,1,425.83156,5e-05,425.83157,3e-05,3240
11,Hf,1,426.098,0.0011,426.097981,1.6e-05,2900
12,Th,1,425.85204,9e-06,425.852037,3e-06,1800
13,Cs,2,425.9002,0.00011,425.90010,3e-05,1600
14,Gd,1,426.209,0.01,,,1600
15,Th,1,426.033282,9e-06,426.033294,6e-06,1500
16,Fe,1,426.01349,5e-05,426.01350,3e-05,1410
17,Sm,2,426.268,0.01,,,1300
18,Fe,1,425.99989,5e-05,425.99989,3e-05,1200
19,Tc,1,426.2687,0.001,426.2682,0.001,1000
20,Fe,1,425.89514,5e-05,425.89513,3e-05,980
21,Gd,1,426.012,0.01,,,810
22,Nb,1,426.205,0.01,,,770
23,Ac,2,425.782,0.0015,425.7840,0.0009,770
24,Ti,1,426.3133,0.0002,426.31324,9e-05,750
25,Sr,1,426.232,0.0005,426.23151,7e-05,700
26,Tm,1,426.0487,0.001,426.0489+,0.0003,690
27,Th,1,426.261231,1.6e-05,426.261236,1.1e-05,660
28,Te,2,426.1112,0.0014,,,570
29,Tb,2,425.823,0.01,,,480
30,Ac,1,426.242,0.0006,426.24253,5e-05,460
31,Th,1,425.949404,1.8e-05,425.949396,3e-06,460
32,Th,1,426.098448,1.8e-05,426.098442,6e-06,430
33,Sr,1,425.9013,0.0005,425.901,0.003,420
34,Nd,2,426.184,0.01,426.1835+,0.0003,410
35,Nd,2,426.184,0.01,426.1844+,0.0003,410
36,Cs,2,426.13313,0.0001,426.13317,3e-05,370
37,Pt,1,426.35022,0.00018,426.35031,7e-05,360
38,Th,2,426.335607,2e-05,426.335605,8e-06,350
39,V,2,426.1026,0.0007,426.10317,5e-05,340
40,Fe,1,425.86109,0.00015,425.86133,3e-05,331
41,Ac,2,425.965,0.0009,425.9649,0.0004,320
42,Ru,1,425.899,0.01,425.899+,0.003,310
43,Pt,1,425.9931,0.00018,425.99299,9e-05,290
44,Sr,1,425.8745,0.0005,425.8739,0.0005,240
