,element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens
0,V,1,426.86376,0.00018,426.86378,7e-05,2300000
1,V,1,427.15483,0.00018,427.15480,9e-05,1900000
2,V,1,427.6951,0.00018,427.69509,4e-05,1900000
3,Fe,1,427.17602,5e-05,427.17599,3e-05,630000
4,V,1,426.9754,0.0003,426.97535,4e-05,200000
5,V,1,427.0307,0.0002,427.03076,5e-05,170000
6,Fe,1,427.11535,5e-05,427.11531,3e-05,87000
7,V,1,427.7201,0.0003,427.72011,7e-05,51000
8,C,1,426.90197,0.00012,426.90179,9e-05,21000
9,V,1,426.755,0.0004,426.75517,0.00015,18000
10,V,1,427.2726,0.0003,427.27265,4e-05,14000
11,V,1,427.3404,0.0004,427.34035,0.00011,12000
12,Pu,1,426.977,0.01,,,10000
13,Fe,1,426.69642,5e-05,426.69641,3e-05,6200
14,Fe,1,426.78262,5e-05,426.78263,4e-05,4680
15,Tm,1,427.1716,0.0005,427.1709+,0.0018,2700
16,Cr,1,427.48117,0.0006,427.479710,2.2e-05,2500
17,Th,1,427.287442,1.1e-05,427.287439,6e-06,1800
18,Th,1,427.230322,9e-06,427.230314,3e-06,1800
19,Fe,1,426.87485,5e-05,426.87486,3e-05,1660
20,Hf,1,426.9256,0.0007,426.92470,5e-05,1400
21,Kr,1,427.396943,1e-05,427.39694+,3e-05,1000
22,Dy,1,426.8264,0.001,426.8267+,0.0018,1000
23,Th,1,426.994257,1.3e-05,426.994258,6e-06,980
24,Cu,1,427.5107,0.0009,427.5108,0.0005,950
25,Mo,1,427.6906,0.001,427.6906+,0.0003,890
26,Ne,1,427.5559,0.0002,427.55572,3e-05,700
27,Ne,1,426.97223,0.0002,426.97221,0.0002,700
28,Ne,1,426.80086,0.0002,426.80050,0.00011,700
29,Ti,1,427.4588,0.0002,427.45829,9e-05,660
30,Ac,1,426.694,0.0013,,,560
31,Ne,1,427.02252,0.0002,427.02248,0.0002,500
32,Ne,1,427.46617,0.0002,427.46600,6e-05,500
33,Pt,1,427.3922,0.002,427.38980,0.00024,490
34,Fe,1,427.38682,0.00015,427.38676,3e-05,479
35,Fe,1,427.66758,0.00015,427.66743,3e-05,479
36,Gd,1,426.7,0.01,,,470
37,Hf,1,427.6305,0.0007,427.62955,0.00015,370
38,Tb,1,426.969,0.01,,,330
39,Zr,1,426.802,0.01,,,310
40,Th,1,427.143959,2e-05,427.143965,1.3e-05,310
41,Th,1,427.212846,2.2e-05,427.212845,8e-06,300
42,Gd,1,427.417,0.01,,,300
43,Nb,1,427.069,0.01,,,290
44,Fe,1,427.5698,0.0003,427.56979,3e-05,288
45,Fe,1,427.1942,0.0003,427.19406,4e-05,288
46,Th,1,427.208112,2.2e-05,427.208121,1.1e-05,280
47,Mo,1,426.9279,0.001,426.9280+,0.0003,270
48,Ir,1,426.81,0.01,426.810+,0.003,260
49,Dy,1,427.669,0.01,427.6691+,0.0018,250
50,Tb,1,427.521,0.01,,,220
51,Th,1,427.073482,2.4e-05,427.073449,8e-06,210
52,Th,1,427.435524,2.4e-05,427.435525,9e-06,210
53,W,1,426.9382,0.001,426.9384,0.0015,200
54,Th,1,426.90639,3e-05,426.906389,3e-06,200
55,Ti,1,427.6427,0.0002,427.64268,0.00011,190
56,Ti,1,427.2424,0.0002,427.24235,7e-05,180
57,Th,1,427.48165,3e-05,427.481698,1.1e-05,170
58,Pt,1,426.9249,0.00018,426.92514,9e-05,160
59,Ar,1,427.2169,0.001,427.2169,0.001,150
60,Hf,1,426.849,0.0011,426.84845,0.00013,140
61,Pt,1,427.1202,0.002,427.1208,0.0004,130
62,Ta,1,426.8255,0.001,426.826+,0.003,130
63,Os,1,426.961,0.01,,,120
64,Fe,1,426.7389,0.0004,426.73914,6e-05,120
65,Ti,1,427.0127,0.0002,427.01266,5e-05,110
66,W,1,427.4548,0.001,427.4553,0.0015,100
67,Th,1,427.21549,3e-05,427.215465,8e-06,90
68,Th,1,427.4221,3e-05,427.422093,1.5e-05,88
69,Cr,1,427.10617,5e-05,427.10614,3e-05,77
70,Hf,1,427.542,0.0011,427.54061,0.00016,73
71,Hf,1,427.042,0.0011,,,73
72,Hf,1,427.578,0.0011,427.57714,0.00011,73
73,Th,1,427.7159,4e-05,427.715907,3e-06,72
74,W,1,427.674,0.001,427.6738,0.0015,60
75,Rh,1,427.343,0.01,427.3418,0.001,60
76,Ti,1,427.6632,0.0002,427.66302,5e-05,59
77,Th,1,427.22552,4e-05,427.225400,1.1e-05,55
78,W,1,427.5486,0.001,427.5483,0.0015,50
79,Ne,1,426.7724,0.002,426.77197,0.00017,50
80,Th,1,427.55677,4e-05,427.556824,3e-06,48
81,W,1,426.9774,0.001,426.9773,0.0015,40
82,Ti,1,427.4383,0.0002,427.43860,0.00011,40
83,Cr,1,426.99505,5e-05,426.99504,3e-05,40
84,Th,1,427.39098,5e-05,427.391015,8e-06,37
85,Ti,1,427.3295,0.0002,427.32920,5e-05,36
86,Th,1,427.20336,5e-05,427.203348,1.1e-05,32
87,Na,1,427.39,0.02,427.380,0.013,23
88,Cr,1,427.29031,7e-05,427.290255,2.6e-05,21
89,Th,1,427.53622,5e-05,427.536246,1.5e-05,21
90,W,1,427.3688,0.001,427.3686,0.0015,20
91,W,1,427.6016,0.001,427.6019,0.0015,20
92,Li,1,427.313,0.01,427.3124,0.001,20
93,Li,1,427.307,0.01,427.3062,0.001,20
94,Cr,1,426.87874,7e-05,426.87876,4e-05,16
95,Th,1,426.9272,0.00018,426.927744,1.3e-05,14
96,Ti,1,427.2328,0.0002,427.23257,0.00011,13
97,Ti,1,426.8916,0.0005,426.89081,7e-05,13
98,Cr,1,426.67999,0.0001,426.67993,3e-05,13
99,W,1,426.8045,0.001,426.8048,0.0015,12
