,element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Acc
0,V,1,425.93087,0.00018,425.93086,3e-05,780000,
1,V,1,426.21552,0.00018,426.21549,9e-05,480000,B+
2,V,1,425.73633,0.00018,425.73630,7e-05,400000,B+
3,Fe,1,426.04741,5e-05,426.04736,3e-05,224000,B
4,V,1,426.1195,0.0002,426.11946,0.00018,94000,
5,V,1,425.8847,0.0003,425.88466,9e-05,33000,
6,V,1,426.0135,0.0005,426.01347,5e-05,23000,
7,Th,1,425.749613,3e-06,425.7496131,2.3e-06,11000,
8,Tc,1,426.227,0.001,426.2245,0.001,10000,
9,Pu,1,426.188,0.01,,,10000,
10,Os,1,426.085,0.01,,,4900,
11,Fe,1,425.83156,5e-05,425.83157,3e-05,3240,A
12,Hf,1,426.098,0.0011,426.097981,1.6e-05,2900,
13,Th,1,425.85204,9e-06,425.852037,3e-06,1800,
14,Gd,1,426.209,0.01,,,1600,
15,Cs,2,425.9002,0.00011,425.90010,3e-05,1600,
16,Th,1,426.033282,9e-06,426.033294,6e-06,1500,
17,Fe,1,426.01349,5e-05,426.01350,3e-05,1410,C+
18,Fe,1,425.99989,5e-05,425.99989,3e-05,1200,D
19,Fe,1,425.89514,5e-05,425.89513,3e-05,980,C+
20,Gd,1,426.012,0.01,,,810,
21,Ac,2,425.782,0.0015,425.7840,0.0009,770,C+
22,Nb,1,426.205,0.01,,,770,
23,Sr,1,426.232,0.0005,426.23151,7e-05,700,
24,Tm,1,426.0487,0.001,426.0489+,0.0003,690,B+
25,Th,1,426.261231,1.6e-05,426.261236,1.1e-05,660,
26,Te,2,426.1112,0.0014,,,570,
27,Tb,2,425.823,0.01,,,480,
28,Th,1,425.949404,1.8e-05,425.949396,3e-06,460,
29,Ac,1,426.242,0.0006,426.24253,5e-05,460,B
30,Th,1,426.098448,1.8e-05,426.098442,6e-06,430,
31,Sr,1,425.9013,0.0005,425.901,0.003,420,
32,Nd,2,426.184,0.01,426.1835+,0.0003,410,
33,Nd,2,426.184,0.01,426.1844+,0.0003,410,
34,Cs,2,426.13313,0.0001,426.13317,3e-05,370,
35,V,2,426.1026,0.0007,426.10317,5e-05,340,
36,Fe,1,425.86109,0.00015,425.86133,3e-05,331,D
37,Ac,2,425.965,0.0009,425.9649,0.0004,320,C+
38,Ru,1,425.899,0.01,425.899+,0.003,310,
